File Number,Project Type,Status,Filing Date,Project Name,APN,Street Address,City,State,ZIP,Latitude,Longitude,Address,Housing Type,Residential Units,Non-Residential Area,Hotel Rooms,Residential Care Units,Approval Date,Description,Plans,geometry,Planning Area,General Plan Designation,City Council District,Development Inspector,Utility Inspector,Water Service Provider,Transportation Area Zone,Special District Landscaping,Soil Type,School District Elementary,School District Secondary,Property Based Improvement District,Owl Overwintering Habitat,Natural Asbestos,HistoricArea,PovertyRate,Flood_Hazard_Area,Census Tract Languages,AirportNoise,Walk Score,Walk Score Description,Seismic Hazards,Road Noise,SNI Area,Name of Growth Area,Planning Project Manager,Public Works Engineer,Public Works File Number,Public Works Senior Engineer,Applicant Entity,Applicant Name,Representative Entity,Representative Name
PDA15-031-01,Industrial,Approved,9/1/20,Bloom Energy at Equinix,647-25-043,5 Great Oaks Blvd,San Jose,CA,95119,37.243051,-121.7841,5 Great Oaks Boulevard,,,92350,,,5/26/21,"Planned Development Permit Amendment to allow the construction of a 3-story, 57,000 - gross square foot Bloom Energy fuel cell structure to the east of the SV11 data center building approved under PD15-031 on a 11.4-gross acre site.",,POINT (6187888.363854758 1913533.755391459),Edenvale,Combined Industrial/Commercial,2,Carl Dinga,Greg Duffy,Great Oaks Water Company,667,"Raleigh, Coronado, Via Del Oro",Silt Loam,Oak Grove Elementary School District,East Side Union High School District,,,,,0.06,D,"English: 64%, Spanish: 18%, Other: 9%, Chinese: 6%, Vietnamese: 3%",,21,Car-Dependent,Liquefaction,,No,Old Edenvale,AWANG,Alex Wong,3-14681,Michelle Kimball,Bloom Energy,,,James Matthews
H20-024,Residential,Approved,7/15/20,Monterey Mixed Use,684-02-003,4300 Monterey Hwy,San Jose,CA,95111,37.273995,-121.830948,4300 Monterey Rd,MF,438,,,,,"SB 35 Ministerial Permit to allow mixed-use project with 3,035 square feet of retail and 438 affordable, residential units on a 2.29-gross acre site. ",,POINT (6174412.889566589 1924989.932033756),Edenvale,Combined Industrial/Commercial,2,Carl Dinga,Greg Duffy,San Jose Water Company,933,,Silt Loam,Oak Grove Elementary School District,East Side Union High School District,,,,,0.09,D,"English: 40%, Spanish: 37%, Vietnamese: 13%, Other: 8%, Chinese: 2%",,59,Somewhat Walkable,Liquefaction,,No,,RCUETOG,Khoder Baydoun,3-22047,Joe Provenzano,,Amanda Locke,,
CP18-022,Residential,Under Construction,6/26/18,Blossom Hill Affordable Apartments,690-25-021,397 Blossom Hill Rd,San Jose,CA,95123,37.251807,-121.827896,397 Blossom Hill Road,MF,147,,,,12/11/19,"A Conditional Use Permit to demolish an approximately 32,000 square foot building, remove six ordinance-sized trees and two non-ordinance sized trees, and to construct a 147-unit affordable housing building for seniors with approximately 16,000 square feet of ground floor commercial uses, site improvements, and a State Density Bonus request for reductions in motorcycle parking and private open space requirements, on an approximately 2.0-gross acre site.",http://csjpbce.sanjoseca.gov/ecmsviewer/713/165/45165713.pdf,POINT (6175186.21597613 1916899.420334165),Edenvale,Neighborhood/Community Commercial,2,Carl Dinga,Greg Duffy,Great Oaks Water Company,660,,Silt Loam,Oak Grove Elementary School District,East Side Union High School District,,,,,0.06,D,"English: 49%, Spanish: 23%, Other: 19%, Vietnamese: 5%, Chinese: 4%",,66,Somewhat Walkable,Liquefaction,"65-69 FWY, 75-79",No,Blossom Hill Rd/Snell Av,RCUETOG,Alex Wong,3-01412,Michelle Kimball,Blossom Hill LP,,,
PDA14-005-012,Industrial,Pending,11/4/21,PDA14-005-012 Western Digital,706-07-020,5601 Great Oaks Pkwy,San Jose,CA,95119,37.247759,-121.792849,5601 Great Oaks Pky Building 1,,,580000,,,,"Planned Development Permit Amendment to modify the previously approved PD Permit to allow the construction of one four-story, 200,000-square foot general office building, one four-story, 200,000-square foot R&D office/R&D building, one 3-story, 150,000-square foot R&D office/R&D building, one two-story, 30,000-square foot amenity building, one five-level separate parking structure and the associated site improvements on a 36.6-acre site.  ",,POINT (6185365.529853453 1915282.849155012),Edenvale,Industrial Park,2,Carl Dinga,Greg Duffy,Great Oaks Water Company,664,Hitachi,Silt Loam,Oak Grove Elementary School District,East Side Union High School District,,,,,0.05,D,"English: 56%, Spanish: 17%, Other: 17%, Chinese: 5%, Vietnamese: 5%",,28,Car-Dependent,Liquefaction,,No,,AWANG,Tiffany Pong,3-18761,Michelle Kimball,HGST INC,David Koury,KayVictor,Jason Victor 
PDA14-005-10,Industrial,Approved,5/3/18,Western Digital Great Oaks Campus,706-07-020,5601 Great Oaks Pkwy,San Jose,CA,95119,37.247759,-121.792849,5601 Great Oaks Parkway,,,73400,,,11/14/18,"Planned Development Permit Amendment to allow the construction of a two-story, 73,400-square foot industrial office building, up to 20% parking reduction, and site improvements including the removal of 10 parking spaces, modifications to pedestrian circulation, grading, stormwater management, accessible parking, lighting and landscape improvements on an approximately 2.45-acre portion of the 176-gross acre campus.",http://csjpbce.sanjoseca.gov/ecmsviewer/232/285/18285232.pdf,POINT (6185365.529853453 1915282.849155012),Edenvale,Industrial Park,2,Carl Dinga,Greg Duffy,Great Oaks Water Company,664,Hitachi,Silt Loam,Oak Grove Elementary School District,East Side Union High School District,,,,,0.05,D,"English: 56%, Spanish: 17%, Other: 17%, Chinese: 5%, Vietnamese: 5%",,28,Car-Dependent,Liquefaction,"75-79 FWY, 70-74, 65-69 FWY",No,,CVANDERZ,Arlyn Villanueva,3-18761,Samuel Yung,,David Koury,,
PD16-005,Residential,Under Construction,2/4/16,Istar/Great Oaks,706-08-008,6520 Gamma Wy,San Jose,CA,95119,37.240591,-121.789917,"West side of Great Oaks Blvd approx 1,000 feet northwesterly of Highway 85",MF,301,,,,5/18/16,Planned Development Permit to allow the removal of nine ordinance size trees and the construction of 301 multi-family residential units within two four-story buildings and two six-story parking structures on a 6.55 gross acre site.,http://csjpbce.sanjoseca.gov/ecmsviewer/311/745/15745311.pdf,POINT (6186182.902008511 1912661.43392102),Edenvale,Urban Residential,2,Carl Dinga,Greg Duffy,Great Oaks Water Company,667,"Raleigh, Coronado, Via Del Oro",Silt Loam,Oak Grove Elementary School District,East Side Union High School District,,,,,0.05,D,"English: 56%, Spanish: 17%, Other: 17%, Chinese: 5%, Vietnamese: 5%",,17,Car-Dependent,Liquefaction,"65-69 FWY, 75-79 FWY",No,Old Edenvale,RBUSTOS,Michelle Kimball,3-14681,Jeff Lee,"FWSH PARTNERS II, LLC",,,
PD12-039,Residential,Completed,10/11/12,South Village (Hitachi Condo's),706-65-020,5979 Raleigh Rd,San Jose,CA,95123,37.244894,-121.797554,0 Raleigh Road,MF,83,,,,12/20/12,"Planned Development Permit to allow development of 836 residences consisting of 103 single family detached residences, 347 single family attached residences, and 386 multi-family attached residences on 40.5 gross acre site.",http://csjpbce.sanjoseca.gov/ecmsviewer/317/143/13143317.pdf,POINT (6183981.700915087 1914258.74858205),Edenvale,Urban Village,2,Carl Dinga,Greg Duffy,Great Oaks Water Company,662,Hitachi,Silt Loam,Oak Grove Elementary School District,East Side Union High School District,,,,,0.05,D,"English: 56%, Spanish: 17%, Other: 17%, Chinese: 5%, Vietnamese: 5%",,47,Car-Dependent,"Liquefaction, No","65-69 FWY, No, 75-79 FWY, 65-69, 70-74",No,,JBATY,Norman Mascarinas,3-18634,,Lennar Homes of California,,,
SP20-012,Residential,Pending,4/15/20,VTA Blossom Hill Station TOD,486-41-033,525 Blossom Hill Rd,San Jose,CA,95123,37.251683,-121.835392,605 Blossom Hill Rd,MF,328,,,,,"Special Use Permit to allow the development of a Signature Project per Policy IP-5.10 of the San Jose General Plan, including the demolition of existing surface parking, the removal of 55 ordinance-size trees and 14 non-ordinance trees, and the construction of one six-story mixed use building with 13,590 square feet of commercial space and 239 market-rate multi-family residential units and one five-story multifamily residential building with 89 affordable housing units, with trail improvements to Canoas Creek
Additional policy review for Riparian Corridor and extended construction hours

This project is proposing 19% VLI units and qualifies for three incentives. They are requesting the following three incentives:
1. Reduction in private open space 
2. Reduction in the commercial square footage 
3. Allow for more affordable material alternatives such as stucco and cast trim pieces (Signature project requirement for high-quality materials)
",,POINT (6173004.02938993 1916885.319982996),Edenvale,Neighborhood/Community Commercial,2,Carl Dinga,Greg Duffy,San Jose Water Company,648,,Clay,Oak Grove Elementary School District,East Side Union High School District,,,,,0.1,D,"English: 60%, Spanish: 15%, Other: 14%, Vietnamese: 8%, Chinese: 3%",,72,Very Walkable,Liquefaction,,No,Blossom Hill Rd/Cahalan Av,LMEINERS,Tiffany Pong,3-16606,Michelle Kimball,Green Republic Blossom Hill LLC,,,Melissa Durkin
CP20-003,Industrial,Approved,10/11/18,231 Captiol Public Storage,462-19-013,231 W Capitol Expy,San Jose,CA,95136,37.276503,-121.843777,231 W. Capitol Expressway,,,179916,,,2/26/20,"Conditional Use Permit to allow the demolition of 34,457 square feet of existing ministorage buildings, the removal of six ordinance-size trees, and the construction of a new ministorage building totaling 179,616 square feet on an approximately 6.4-gross acre site.",,POINT (6170693.519628045 1925956.349744203),South,Combined Industrial/Commercial,2,Carl Dinga,Greg Duffy,San Jose Water Company,727,,Clay,Franklin-McKinley Elementary School District,East Side Union High School District,,,,,0.09,D,"English: 43%, Other: 23%, Vietnamese: 16%, Spanish: 14%, Chinese: 4%",,37,Car-Dependent,Liquefaction,65-69,No,,MFLORES1,,,,Public Storage,Mark Kennedy,"Bacinski & Associates, Inc.",Rose Bacinski 
H18-002,Commercial,Approved,1/9/18,Silver Creek Valley Rd Hotel,678-93-015,5952 Silver Creek Valley Rd,San Jose,CA,95138,37.258507,-121.784362,5952 Silver Creek Valley Road,,,73862,127,,5/1/19,"Site Development Permit to allow the development of a 4-story, 127-room hotel on a 2.18-gross acre vacant site in the CIC Combined Industrial/Commercial Zoning District.",http://csjpbce.sanjoseca.gov/ecmsviewer/603/746/18746603.pdf,POINT (6187889.335547154 1919161.841623436),Edenvale,Combined Industrial/Commercial,2,Carl Dinga,Greg Duffy,San Jose Municipal Water System,741,,Silt Loam,Oak Grove Elementary School District,East Side Union High School District,,Potential,,,0.04,D,"English: 46%, Other: 20%, Spanish: 16%, Vietnamese: 14%, Chinese: 4%",,25,Car-Dependent,Liquefaction,"65-69 FWY, 70-74",No,New Edenvale,RSHAH,Joe Provenzano,3-15404,Joe Provenzano,"K.D. Patel Buddy Silvercreek, LLC",,,
